Name,MapDate,DSCI
CONUS,20001226,51
CONUS,20010102,51
CONUS,20010109,54
CONUS,20010116,52
CONUS,20010123,63
CONUS,20010130,57
CONUS,20010206,57
CONUS,20010213,67
CONUS,20010220,64
CONUS,20010227,65
CONUS,20010306,62
CONUS,20010313,67
CONUS,20010320,68
CONUS,20010327,71
CONUS,20010403,70
CONUS,20010410,68
CONUS,20010417,68
CONUS,20010424,69
CONUS,20010501,74
CONUS,20010508,91
CONUS,20010515,99
CONUS,20010522,95
CONUS,20010529,91
CONUS,20010605,82
CONUS,20010612,78
CONUS,20010619,84
CONUS,20010626,90
CONUS,20010703,96
CONUS,20010710,89
CONUS,20010717,96
CONUS,20010724,101
CONUS,20010731,107
CONUS,20010807,106
CONUS,20010814,103
CONUS,20010821,103
CONUS,20010828,106
CONUS,20010904,107
CONUS,20010911,110
CONUS,20010918,107
CONUS,20010925,101
CONUS,20011002,101
CONUS,20011009,106
CONUS,20011016,104
CONUS,20011023,113
CONUS,20011030,122
CONUS,20011106,129
CONUS,20011113,135
CONUS,20011120,136
CONUS,20011127,129
CONUS,20011204,128
CONUS,20011211,122
CONUS,20011218,122
CONUS,20011225,120
CONUS,20020101,122
CONUS,20020108,116
CONUS,20020115,114
CONUS,20020122,113
CONUS,20020129,112
CONUS,20020205,112
CONUS,20020212,114
CONUS,20020219,118
CONUS,20020226,124
CONUS,20020305,124
CONUS,20020312,139
CONUS,20020319,133
CONUS,20020326,137
CONUS,20020402,135
CONUS,20020409,137
CONUS,20020416,138
CONUS,20020423,144
CONUS,20020430,147
CONUS,20020507,151
CONUS,20020514,157
CONUS,20020521,152
CONUS,20020528,158
CONUS,20020604,157
CONUS,20020611,156
CONUS,20020618,160
CONUS,20020625,167
CONUS,20020702,172
CONUS,20020709,171
CONUS,20020716,175
CONUS,20020723,188
CONUS,20020730,185
CONUS,20020806,185
CONUS,20020813,185
CONUS,20020820,181
CONUS,20020827,179
CONUS,20020903,182
CONUS,20020910,189
CONUS,20020917,186
CONUS,20020924,179
CONUS,20021001,174
CONUS,20021008,173
CONUS,20021015,166
CONUS,20021022,160
CONUS,20021029,154
CONUS,20021105,155
CONUS,20021112,143
CONUS,20021119,142
CONUS,20021126,141
CONUS,20021203,142
CONUS,20021210,151
CONUS,20021217,146
CONUS,20021224,145
CONUS,20021231,142
CONUS,20030107,149
CONUS,20030114,155
CONUS,20030121,160
CONUS,20030128,162
CONUS,20030204,161
CONUS,20030211,165
CONUS,20030218,160
CONUS,20030225,159
CONUS,20030304,160
CONUS,20030311,161
CONUS,20030318,162
CONUS,20030325,156
CONUS,20030401,149
CONUS,20030408,143
CONUS,20030415,147
CONUS,20030422,144
CONUS,20030429,151
CONUS,20030506,139
CONUS,20030513,130
CONUS,20030520,133
CONUS,20030527,130
CONUS,20030603,132
CONUS,20030610,128
CONUS,20030617,121
CONUS,20030624,120
CONUS,20030701,112
CONUS,20030708,111
CONUS,20030715,123
CONUS,20030722,135
CONUS,20030729,148
CONUS,20030805,152
CONUS,20030812,158
CONUS,20030819,168
CONUS,20030826,180
CONUS,20030902,170
CONUS,20030909,177
CONUS,20030916,166
CONUS,20030923,166
CONUS,20030930,162
CONUS,20031007,160
CONUS,20031014,160
CONUS,20031021,162
CONUS,20031028,168
CONUS,20031104,164
CONUS,20031111,166
CONUS,20031118,163
CONUS,20031125,161
CONUS,20031202,160
CONUS,20031209,161
CONUS,20031216,159
CONUS,20031223,160
CONUS,20031230,155
